Language,Instance Count
Gujarati,129
Lindu,126
Proto-Turkic,124
Tarantino,124
Mapudungun,123
Amis,121
Brunei Malay,121
Old Occitan,119
Kabardian,119
Gun,118
Udmurt,117
Sambali,116
Ludian,115
Phuthi,115
Achang,113
Marshallese,112
Gullah,112
Akkadian,111
Erzya,111
Phalura,107
Northern Thai,106
Tokelauan,105
Senhaja de Srair,105
Kumyk,105
Sindhi,105
Kashmiri,102
Middle Armenian,99
Mirandese,99
Unami,97
Northern Altai,97
Sikkimese,97
Bambara,96
Mansaka,96
Central Atlas Tamazight,96
Woiwurrung,95
Istriot,95
Tumbuka,94
Yucatec Maya,94
Shona,93
Proto-Ryukyuan,92
Maguindanao,92
Pangasinan,92
Proto-Malayo-Polynesian,92
Komi-Permyak,92
Ojibwe,91
Middle Low German,91
Yami,91
Manchu,91
Nivkh,89
Northern Mansi,89
Atong (India),88
Nupe,87
Sassarese,87
Mariupol Greek,87
Buryat,87
Odia,87
Choctaw,85
Pipil,85
Proto-Brythonic,85
Tooro,85
Chagatai,85
Chickasaw,84
Acehnese,84
Proto-Italic,83
Sidamo,83
Ingush,83
Eastern Lawa,83
Sotho,82
Mazanderani,82
Central Dusun,81
Murui Huitoto,79
Rapa Nui,79
North Moluccan Malay,79
Samoan,78
Betawi,78
Middle Welsh,78
Uneapa,77
Fijian,77
Ahtna,76
Ainu,75
Oromo,75
Cypriot Arabic,75
Kalasha,74
Limos Kalinga,74
Palauan,73
Leonese,73
Megleno-Romanian,73
Nanai,73
Lule Sami,71
Jersey Dutch,70
San Juan Quiahije Chatino,70
Pattani Malay,70
Amharic,69
Hamer-Banna,69
Masbatenyo,69
Nheengatu,69
Higaonon,69
Baluchi,69
Old Marathi,69
Rwanda-Rundi,68
Proto-Japonic,67
West Flemish,67
Tongan,67
Turoyo,67
Ao,66
Muong,66
Old Ruthenian,66
Kalmyk,65
Proto-Polynesian,65
Eastern Huasteca Nahuatl,64
Inuktitut,63
Old Prussian,63
Iu Mien,63
Shan,63
Rohingya,61
Old Slovak,61
Chuvash,60
Bourguignon,60
Bouyei,60
Laboya,60
Even,60
Ket,60
Proto-Indo-European,59
Tahitian,59
Pichinglis,59
Old Gujarati,59
Võro,57
Kabyle,57
Pagu,57
Khasi,57
Proto-Naish,57
Northern Yukaghir,57
Yagara,56
Bangi,56
Zou,56
Dolgan,56
Pahari-Potwari,56
Chadian Arabic,56
K'iche',55
Yurok,55
Proto-Uralic,55
'Are'are,54
Yao,54
Evenki,54
Dzongkha,54
Dhivehi,54
Rukai,53
Bahnar,53
Karaim,53
Pitjantjatjara,52
Tsonga,52
Lubuagan Kalinga,52
Libyan Arabic,52
Polabian,51
Ubykh,51
Nias,51
Mòcheno,51
Southern Ndebele,50
Coptic,50
Yakan,49
Bats,49
Proto-Austronesian,48
Elfdalian,48
Tocharian A,48
Avar,48
Saisiyat,47
Proto-Basque,47
Tswana,47
Ossetian,47
Thao,47
Inupiaq,47
Pazeh,46
Ese,46
Pohnpeian,45
Tigrinya,45
Igala,45
Ewe,45
Peranakan Indonesian,45
Nyunga,45
Khakas,45
Karakhanid,45
Isan,45
Cahuilla,44
Proto-Dravidian,44
Juba Arabic,44
Kari'na,44
Lezgi,44
Ge'ez,44
Ibaloi,43
Inari Sami,43
Lao,43
Dongxiang,42
Chamicuro,42
Nǀuu,42
Central Huasteca Nahuatl,42
Proto-Sino-Tibetan,42
Iraqi Arabic,42
Abkhaz,41
Semai,41
Old Leonese,41
Southwestern Dinka,41
Talysh,41
Kongo,40
Igbo,40
Antigua and Barbuda Creole English,40
Zaghawa,40
Guinea-Bissau Creole,40
Abinomn,40
Shor,40
Tlingit,39
Chamorro,39
Jeju,39
Isoko,39
Wolio,39
Lakota,39
Antillean Creole,39
Carpathian Rusyn,39
Sylheti,39
Proto-Nakh,38
Hadza,38
Kambera,38
Southern Yukaghir,38
Abau,38
Chinook Jargon,38
Pnar,38
Dibabawon Manobo,37
Nigerian Pidgin,37
Burushaski,37
Mwani,37
Saraiki,37
Tulu,37
Nyah Kur,37
Northern Sotho,36
Minangkabau,36
Jingpho,36
Yámana,36
Northern Ndebele,36
Proto-Malayic,36
Ghomala',36
Prasuni,36
Lower Tanana,35
Aklanon,35
Etruscan,35
Fiji Hindi,35
Anguthimri,35
Tundra Nenets,35
Bhojpuri,35
Nogai,34
Pite Sami,34
Venda,34
Brooke's Point Palawano,34
Proto-Samoyedic,34
Newar,34
Apabhramsa,34
Tabaru,33
Western Apache,33
Hopi,33
Galo,33
Kamkata-viri,33
Lepcha,33
Middle Scots,32
Extremaduran,32
Kamba,32
Moore,32
Tsou,32
Yosondúa Mixtec,32
Musi,32
Kven,32
Southwestern Fars,32
Tetelcingo Nahuatl,31
Russenorsk,31
Banjarese,31
Proto-Albanian,31
Rayón Zoque,31
Nzadi,31
Old Khmer,31
Kohistani Shina,31
Marwari,31
Santali,31
Kanakanabu,30
Gallurese,30
Lutuv,30
Gaulish,30
Eastern Cham,30
Kituba,30
Braj,30
Proto-Tungusic,29
Khumi Chin,29
Namuyi,29
Linngithigh,29
Maia,29
Taroko,29
Yaghnobi,29
Gallo,29
Northern Khanty,29
Proto-Permic,28
Wauja,28
Farefare,28
Tiruray,28
Kaurna,28
Udi,28
Western Lawa,28
S'gaw Karen,28
Jamamadí,27
Kurukh,27
Picard,27
Eastern Arrernte,27
Ponosakan,27
Waigali,27
Barngarla,27
Coastal Kadazan,27
Proto-Bodish,27
Sherpa,27
Chong,27
Lü,27
Wutunhua,26
Proto-Norse,26
Ambonese Malay,26
Eastern Bontoc,26
Äiwoo,26
Italiot Greek,26
Tabasaran,26
Tunisian Arabic,26
Kolami,26
Northern Ohlone,25
Kildin Sami,25
Dungan,25
Simalungun Batak,25
Chibcha,25
Lashi,25
Wiradjuri,25
Ngarrindjeri,25
Asi,25
Fingallian,25
Big Nambas,25
Brahui,25
Martuthunira,25
Old Hindi,25
Middle Korean,24
Rotokas,24
Osing,24
Kaqchikel,24
Akan,24
Paiwan,24
Pangutaran Sama,24
Dutch Low Saxon,24
Rawang,24
Ottawa,23
Old Novgorodian,23
Norn,23
Southeastern Tepehuan,23
Bislama,23
Guugu Yimidhirr,23
West Coast Bajau,23
Zoogocho Zapotec,23
Highland Popoluca,22
Itsekiri,22
Pacoh,22
Olukumi,22
Nauruan,22
Malecite-Passamaquoddy,22
Ivatan,22
Western Bukidnon Manobo,22
Dakota,22
Sora,22
Hawaiian Creole,22
Hlai,22
Tzotzil,22
Manipuri,22
Early Assamese,22
Pa'o Karen,22
Proto-Mongolic,21
Purepecha,21
Mohawk,21
Crimean Gothic,21
Solon,21
Toba Batak,21
Kaingang,21
Drehu,21
Khowar,21
Tigre,21
Bactrian,21
O'odham,20
Karakalpak,20
Dena'ina,20
Tboli,20
Poitevin-Saintongeais,20
Ibanag,20
Proto-Yeniseian,20
Oroqen,20
Matal,20
Caló,20
Noone,20
Tsuut'ina,20
Teanu,20
Komi-Yazva,20
Shina,20
Proto-Kartvelian,19
Aymara,19
Mecayapan Nahuatl,19
Plains Cree,19
Yup'ik,19
Bourbonnais-Berrichon,19
Yilan Creole,19
Narua,19
Old Sundanese,19
Alabama,19
Central Tarahumara,19
Meänkieli,19
Pumpokol,19
Tat,19
Australian Kriol,19
Bulgar,19
Malvi,19
Irula,19
Lushootseed,18
Bolongan,18
Luo,18
Kristang,18
Edo,18
Proto-Tupi-Guarani,18
Remontado Agta,18
Negeri Sembilan Malay,18
Buginese,18
Isnag,18
Kinaray-a,18
Nafaanra,18
Istro-Romanian,18
Ngazidja Comorian,18
Slavomolisano,18
Yazghulami,18
Sinhalese,18
Proto-Balto-Slavic,17
Southern Ohlone,17
Abenaki,17
Rade,17
Old Catalan,17
Torres Strait Creole,17
Krio,17
Lolopo,17
Gabadi,17
Sudovian,17
Epigraphic Mayan,17
Middle Vietnamese,17
Kokborok,17
Sahu,17
Ter Sami,17
Demotic,17
Pontic Greek,17
Church Slavonic,17
Early Old Oghuz,17
Kurtöp,17
Yapese,16
South Slavey,16
Taos,16
Cumbric,16
Old Danish,16
Ibatan,16
Loloda,16
Oyda,16
Zacatlán-Ahuacatlán-Tepetzintla Nahuatl,16
Scanian,16
Eastern Khanty,16
Western Mari,16
Kachchi,16
Haryanvi,16
Svan,16
Ashokan Prakrit,16
Skolt Sami,15
Proto-Samic,15
Aleut,15
Bau Bidayuh,15
Umbrian,15
Iraqw,15
Coatepec Nahuatl,15
Siraya,15
Northern Puebla Nahuatl,15
Southern Catanduanes Bicolano,15
Mezquital Otomi,15
Sango,15
Cubeo,15
Bandjalang,15
Jamtish,15
Bunun,15
Khoekhoe,15
Daur,15
Niuean,15
Ulch,15
Bakhtiari,15
Khorezmian Turkic,15
Old Awadhi,15
Rakhine,15
Kalo Finnish Romani,14
Alutor,14
Lun Bawang,14
Pijin,14
Karo Batak,14
Maore Comorian,14
Franc-Comtois,14
Madurese,14
Baltic Romani,14
Teop,14
Balantak,14
Juǀ'hoan,14
Kedah Malay,14
Northern Paiute,14
Ajië,14
Koyraboro Senni,14
Woleaian,14
San Pedro Amuzgos Amuzgo,14
Seri,14
Naga Pidgin,14
Dharug,14
Michif,14
Southern Kurdish,14
Budukh,14
Sirenik,14
Torwali,14
Yamphu,14
Tai Dón,14
Warlpiri,13
Wayuu,13
Luganda,13
Akawaio,13
Ometepec Nahuatl,13
Seychellois Creole,13
Kholosi,13
Koasati,13
Judeo-Tat,13
Banggai,13
Darkinjung,13
Teposcolula Mixtec,13
Maricopa,13
Bassa,13
Beja,13
Vlax Romani,13
Huichol,13
Yanomamö,13
Proto-Mixtec,13
Tsakonian,13
Central Mansi,13
Old Punjabi,13
Eastern Pwo,13
Tai Dam,13
Proto-Muskogean,12
Saho,12
Nkonya,12
Garifuna,12
Central Melanau,12
Torricelli,12
Amanab,12
Kott,12
Samogitian,12
Lokono,12
Northern Catanduanes Bicolano,12
Tagakaulu Kalagan,12
Yao (South America),12
Buhi'non Bikol,12
Thracian,12
Chayuco Mixtec,12
Highland Puebla Nahuatl,12
Proto-Uto-Aztecan,12
Guyanese Creole English,12
Binukid,12
Manado Malay,12
Aukan,12
Arapaho,12
Middle Persian,12
Proto-Georgian-Zan,12
Mayo,12
Nùng,12
Dogrib,12
Eastern Maninkakan,12
Mi'kmaq,12
Herero,12
Mongo,12
Proto-Khanty,12
Toda,12
Saek,12
Gong,12
Okinawan,12
Vandalic,11
Proto-Indo-Iranian,11
Shuar,11
Gilbertese,11
Gutnish,11
Traveller Norwegian,11
Ratagnon,11
Pukapukan,11
Iberian,11
Blagar,11
Nubi,11
Chinese Pidgin English,11
Shabo,11
Bola,11
Sui,11
Jarai,11
Tai Do,11
Huave,11
Ashkun,11
Umbundu,11
Belizean Creole,11
Q'eqchi,11
Mpade,11
Kimbundu,11
Udihe,11
Kamassian,11
Gojri,11
Doteli,11
Vaghri,11
Southern Thai,11
Old Japanese,11
Kumeyaay,10
Proto-Nguni,10
Nyishi,10
Mwan,10
Proto-Hellenic,10
Paraujano,10
Alangan,10
Nyoro,10
Lacandon,10
Kariri,10
Francisco León Zoque,10
Proto-Oceanic,10
Eskayan,10
Meriam,10
Dumbea,10
Marrucinian,10
Central Cagayan Agta,10
Dyula,10
San Juan Guelavía Zapotec,10
Baba Malay,10
Keley-I Kallahan,10
Fanagalo,10
Tataltepec Chatino,10
Nuer,10
San Miguel el Grande Mixtec,10
Hupa,10
Mopan Maya,10
Rabha,10
Magdalena Peñasco Mixtec,10
Proto-Mayan,10
Lozi,10
Andi,10
Itelmen,10
Lishana Deni,10
Sudanese Arabic,10
Maithili,10
Gamale Kham,10
Bishnupriya Manipuri,10
Proto-Yoruboid,9
Kom (Cameroon),9
Borôro,9
Kangean,9
Saramaccan,9
Welsh Romani,9
Apatani,9
Yanomam,9
Puyuma,9
Komo,9
Southern Kam,9
Matigsalug Manobo,9
Isthmus Zapotec,9
Gorontalo,9
Nawdm,9
Saaroa,9
Narragansett,9
Arabela,9
Malawi Lomwe,9
Proto-Arawak,9
Drung,9
Tho,9
Orizaba Nahuatl,9
Kaitag,9
Nganasan,9
Akkala Sami,9
Southern Selkup,9
Alviri-Vidari,9
Algerian Arabic,9
Middle Bengali,9
Ladakhi,9
Western Pwo,9
Proto-Tocharian,8
Hajong,8
Bemba,8
Bariai,8
Ayu,8
Indo-Portuguese,8
Gonja,8
Bukiyip,8
Manikion,8
Tyap,8
Tagal Murut,8
Southern Sami,8
Mongondow,8
Ngaju,8
Tedim Chin,8
Cuyunon,8
Pawnee,8
Paipai,8
Lorrain,8
Rarotongan,8
Tolai,8
Western Cham,8
Dama (Sierra Leone),8
Gooniyandi,8
Lote,8
Wastek,8
Hiri Motu,8
Taíno,8
Middle Norwegian,8
Bongo,8
Ch'orti',8
Haida,8
Cameroon Pidgin,8
Bodo (India),8
Mongghul,8
Saanich,8
Mwotlap,8
Cree,8
Mapun,8
Japhug,8
Dargwa,8
Abaza,8
Archi,8
Mozarabic,8
Kipchak,8
Gilaki,8
Awadhi,8
Phoenician,8
Limbu,8
Proto-Algonquian,7
Oneida,7
Proto-Semitic,7
Wiyot,7
Gofa,7
Kabwa,7
Arua,7
Mohegan-Pequot,7
Sasak,7
Akatek,7
Whitesands,7
Hittite,7
Tagabawa,7
Taivoan,7
Zia,7
Domari,7
Wajarri,7
ǃXóõ,7
Klallam,7
Chiquihuitlán Mazatec,7
Lhao Vo,7
ǃKung,7
Baatonum,7
Lala (South Africa),7
Kalkoti,7
Teke-Tyee,7
Algonquin,7
South Efate,7
Biao,7
Adangme,7
Klamath-Modoc,7
Zuni,7
Catawba,7
Western Highland Chatino,7
Proto-Austroasiatic,7
Zacatepec Chatino,7
Proto-Mordvinic,7
Wailaki,7
Miskito,7
Pela,7
Kosraean,7
Wakhi,7
Pochutec,7
Jarawa,7
Lillooet,7
Southern Khanty,7
Laki,7
Munji,7
Najdi Arabic,7
Mewari,7
Garhwali,7
Badaga,7
Sholaga,7
Kodava,7
Punic,7
Aquitanian,6
Curripaco,6
Digo,6
Proto-Nahuan,6
Isthmus Mixe,6
Weyewa,6
Temascaltepec Nahuatl,6
Manggarai,6
Central Malay,6
Duala,6
Berbice Creole Dutch,6
Tuvaluan,6
Iriga Bicolano,6
Proto-Trans-New Guinea,6
Bolinao,6
Montagnais,6
Tambora,6
Adnyamathanha,6
Tonga (Malawi),6
Toro,6
Zealandic,6
Proto-South Dravidian,6
Awabakal,6
Kagayanen,6
Totontepec Mixe,6
Munsee,6
Sie,6
Garawa,6
Mandinka,6
Zarma,6
Moken,6
Dacian,6
Gottscheerish,6
Tenggarong Kutai Malay,6
Canela,6
Tojolabal,6
Nootka,6
Transylvanian Saxon,6
Creek,6
Old Navarro-Aragonese,6
Classical Gaelic,6
Potawatomi,6
Mangas,6
Kerinci,6
Gurindji,6
Serer,6
Chuabo,6
Ngiyambaa,6
Gokana,6
Copala Triqui,6
Proto-Mari,6
Korana,6
Solombala English,6
Khvarshi,6
Urum,6
Orok,6
Mator,6
Gurani,6
Andalusian Arabic,6
Varhadi,6
Yakkha,6
Old Telugu,6
Danu,6
Middle Mongol,6
Old Nubian,6
Kwak'wala,5
Sena,5
Comanche,5
Ndonga,5
Bakung,5
Mam,5
Acholi,5
Proto-Arawa,5
Ikizu,5
Sabir,5
Chaná,5
Swabian,5
Pass Valley Yali,5
Woi,5
Crow,5
Paelignian,5
Cochimi,5
Western Arrernte,5
Tarao,5
Baoule,5
Casiguran Dumagat Agta,5
Bissa,5
Xârâcùù,5
Narungga,5
Basay,5
Wathaurong,5
Anjam,5
Zaniza Zapotec,5
Proto-Mon-Khmer,5
Yatzachi Zapotec,5
Mambae,5
Kilivila,5
Ume Sami,5
Proto-Bantu,5
San Juan Colorado Mixtec,5
Angloromani,5
Balangao,5
Tangkhul Naga,5
Gwich'in,5
Beaver,5
Babuza,5
Ledo Kaili,5
Proto-Hmong-Mien,5
Oscan,5
South Picene,5
Baure,5
Maonan,5
Sathmar Swabian,5
Vurës,5
Soninke,5
Faliscan,5
Quiripi,5
Warao,5
Pyu (Myanmar),5
Quapaw,5
Mehri,5
Classical Quechua,5
Gunwinggu,5
Awa-Cuaiquer,5
Parauk,5
Angguruk Yali,5
Zotung Chin,5
Kanuri,5
Ririo,5
Proto-Vietic,5
Green Hmong,5
Guajajára,5
Ktunaxa,5
Karachay-Balkar,5
Negidal,5
Chamalal,5
Yidgha,5
Kalami,5
Yemeni Arabic,5
Balti,5
Southeast Pashayi,5
Mogholi,5
Western Neo-Aramaic,5
Khaling,5
Kumaoni,5
Thavung,5
Old Mon,5
Magahi,5
Proto-Anatolian,4
Jurchen,4
Ixil,4
Chut,4
Anyi,4
Ayere,4
Miami,4
Yaqui,4
Arin,4
Trió,4
Proto-Yukaghir,4
Tabasco Nahuatl,4
Nyakyusa,4
Proto-Cariban,4
Arikara,4
Marsian,4
Hanga Hundi,4
Tacana,4
Western Huasteca Nahuatl,4
Proto-Nuristani,4
Nyamwanga,4
Western Yugur,4
Mudburra,4
Ughele,4
Tzeltal,4
Warungu,4
Mori Bawah,4
Banyumasan,4
Angevin,4
Tabaa Zapotec,4
Kapingamarangi,4
Caribbean Hindustani,4
Buol,4
Kwama,4
Dinka,4
Iranun,4
Proto-Philippine,4
Q'anjob'al,4
San Juan Atzingo Popoloca,4
Bangka,4
Morelos Nahuatl,4
Papantla Totonac,4
Northern Tarahumara,4
Central Mazahua,4
Arem,4
Chachi,4
Caolan,4
Krisa,4
Barunggam,4
Rhine Franconian,4
Naro,4
Jumaytepeque,4
Nyankole,4
Rotuman,4
Bokar,4
Muna,4
Tsamai,4
Proto-Chamic,4
Cheyenne,4
Aguaruna,4
Ifè,4
Kembra,4
Chewong,4
Chipaya,4
Central Sama,4
Meru,4
Ngarla,4
Proto-Chatino,4
Brokskat,4
Papuan Malay,4
Ngambay,4
Boko,4
Mbay,4
Umatilla,4
Osage,4
West Albay Bikol,4
Bura,4
Nobiin,4
Nihali,4
Makah,4
Proto-Malayo-Sumbawan,4
Eshtehardi,4
Cappadocian Greek,4
Tsez,4
Rutul,4
Forest Enets,4
Omok,4
Sogdian,4
Gondi,4
Bundeli,4
Chhattisgarhi,4
Betta Kurumba,4
Kota (India),4
Jennu Kurumba,4
Shwe Palaung,4
Old Komi,4
Tregami,4
Heiltsuk,3
Yine,3
Broome Pearling Lugger Pidgin,3
American Sign Language,3
Kiowa,3
Blackfoot,3
Rungus,3
Michoacán Nahuatl,3
Tezoatlán Mixtec,3
Berawan,3
Ede Idaca,3
Fon,3
Mato Grosso Arára,3
Jutiapa,3
Kendayan,3
Pamona,3
Old Persian,3
Kunjen,3
Proto-South Dravidian I,3
Fuyug,3
Northwestern Dinka,3
Karajá,3
Ngizim,3
Jaqaru,3
Uab Meto,3
Tuareg,3
Halkomelem,3
Teke-Tege,3
Mentawai,3
Jakaltek,3
Samoan Plantation Pidgin,3
Cuiba,3
Sabah Malay,3
Lavukaleve,3
Jeru,3
Charrua,3
Proto-Somaloid,3
Volscian,3
Proto-Afroasiatic,3
Alak,3
Old Welsh,3
Surigaonon,3
Cinamiguin Manobo,3
Djadjawurrung,3
Zyphe,3
Nyungwe,3
Eton (Cameroon),3
Jicarilla,3
Jumjum,3
Northern Tujia,3
Maroon Spirit Language,3
Squamish,3
Alcozauca Mixtec,3
Nyelâyu,3
Matlatzinca,3
Chol,3
Eastern Katu,3
Nalik,3
Teribe,3
Dhangu,3
Kimaragang,3
Adja,3
Tanacross,3
Cua,3
Jutish,3
Malinaltepec Tlapanec,3
Bube,3
Carrier,3
Eastern Durango Nahuatl,3
Kwanyama,3
Lingao,3
Shelta,3
Carolinian,3
Proto-Iranian,3
Ga,3
Wageman,3
Chichicapan Zapotec,3
Maaka,3
Cayuga,3
Araki,3
Kusunda,3
Coast Miwok,3
Omaha-Ponca,3
Bisu,3
Ashe,3
Weri,3
Hulaulá,3
Central Bontoc,3
Meroitic,3
Dâw,3
Iatmul,3
Old Gutnish,3
Bukhari,3
Principense,3
Fur,3
Pará Arára,3
Mbati,3
Bakumpai,3
Tsat,3
Iwaidja,3
Luhya,3
Tlahuica,3
Capiznon,3
Nhanda,3
A'ou,3
Baha,3
Menominee,3
Chrau,3
Makhuwa-Meetto,3
Ama,3
Annobonese,3
Yankunytjatjara,3
Tidore,3
Northern Tepehuan,3
Saluan,3
Miraya Bikol,3
Proto-Tupian,3
Hokkien,3
Coatlán Mixe,3
Cabre,3
Bella Coola,3
Proto-Abkhaz-Abaza,3
East Yugur,3
Tapayuna,3
Tol,3
Iaai,3
Àhàn,3
Chukchi,3
Hunzib,3
Northern Selkup,3
Lak,3
Soqotri,3
Old Uyghur,3
Dogri,3
Sheshi Kham,3
Rajbanshi,3
Mewati,3
Dhundhari,3
Middle Assamese,3
Chittagonian,3
Southeastern Kolami,3
Pattapu,3
Old Kannada,3
Northern Khmer,3
Aiton,3
Phake,3
Khamti,3
Kunigami,3
Miyako,3
Hachijō,3
Moabite,3
Sabaean,3
Old Tamil,3
Avestan,3
Kui (India),3
Caranqui,2
Kayapó,2
Proto-Algic,2
Kaxuyana,2
Lepontic,2
Onondaga,2
Proto-Nawiki,2
Karamojong,2
Ewondo,2
Tachawit,2
Halia,2
Kiput,2
Fwe,2
Savosavo,2
Ukuriguma,2
Proto-Nuclear Polynesian,2
Uyajitaya,2
Assan,2
Bulu (Cameroon),2
Chapacura,2
Kayapa Kallahan,2
Kuman,2
Proto-Inuit,2
Primitive Irish,2
Cora,2
Menya,2
Powhatan,2
Balanta-Ganja,2
Bargam,2
Laurentian,2
Girawa,2
Tlamacazapa Nahuatl,2
Kuna,2
Mobilian,2
Samo,2
Kayan,2
Assiniboine,2
Coastal Konjo,2
Itawit,2
Puoc,2
Northern Qiang,2
Dimasa,2
Bonggi,2
Sarawak Malay,2
Luba-Kasai,2
Gitxsan,2
Messapic,2
Rejang,2
Teojomulco Chatino,2
Bwatoo,2
Mogum,2
Old Cornish,2
Tangam,2
Buhid,2
Oluta Popoluca,2
Comechingon,2
Ngam,2
Proto-Na-Dene,2
Maleng,2
Jawe,2
Sayula Popoluca,2
Sekani,2
Lambadi,2
Kangjia,2
Semelai,2
Wari',2
Vanimo,2
Dibiyaso,2
Liangmai Naga,2
Koronadal Blaan,2
Gallo-Italic of Sicily,2
Chilcotin,2
Vestinian,2
Sursurunga,2
Ditidaht,2
Mualang,2
Seneca,2
Dyaabugay,2
Penobscot,2
Kemi Sami,2
Nii,2
Lomwe,2
Nyole (Uganda),2
Chipewyan,2
Chuj,2
Kwaza,2
Fordata,2
Chadong,2
Skou,2
Alawa,2
Dagbani,2
Banoni,2
Ngombe (Congo),2
Wala,2
Gayo,2
Dyirbal,2
Mbabaram,2
Malas,2
Turka,2
Wallisian,2
Winnebago,2
Proto-Cushitic,2
Kou,2
Mbukushu,2
Äynu,2
Zay,2
Iquito,2
Suruí,2
Southern Puebla Mixtec,2
Abaga,2
Wayana,2
Inonhan,2
Rendille,2
